report_id,employee_id,cost_center,expense_type,transaction_date,amount_local,currency_code,amount_usd,vendor_name,origin_city,destination_city,origin_airport_iata,destination_airport_iata,departure_datetime,arrival_datetime,flight_class,hotel_city,hotel_check_in,hotel_check_out,hotel_nights,distance_km,notes
RPT-2024-00412,EMP-1042,CC-SALES-DE,AIRFARE,2024-01-08,892.00,EUR,978.24,Lufthansa,Frankfurt,New York,FRA,JFK,2024-01-08T07:45:00,2024-01-08T11:20:00,ECONOMY,,,,0,6197,
RPT-2024-00412,EMP-1042,CC-SALES-DE,AIRFARE,2024-01-15,1245.00,EUR,1364.28,Lufthansa,New York,Frankfurt,JFK,FRA,2024-01-15T13:00:00,2024-01-16T02:45:00,ECONOMY,,,,0,6197,Return leg
RPT-2024-00412,EMP-1042,CC-SALES-DE,HOTEL,2024-01-08,1960.00,USD,1960.00,Marriott Times Square,,,,,,,,,New York,2024-01-08,2024-01-15,7,,
RPT-2024-00412,EMP-1042,CC-SALES-DE,TAXI,2024-01-08,68.00,USD,68.00,NYC Yellow Cab,,,,,,,,,,,,,25,Airport transfer
RPT-2024-00413,EMP-2089,CC-ENGR-US,AIRFARE,2024-01-10,485.00,USD,485.00,United Airlines,San Francisco,Chicago,SFO,ORD,2024-01-10T09:30:00,2024-01-10T15:45:00,ECONOMY,,,,0,2966,
RPT-2024-00413,EMP-2089,CC-ENGR-US,AIRFARE,2024-01-12,510.00,USD,510.00,United Airlines,Chicago,San Francisco,ORD,SFO,2024-01-12T16:00:00,2024-01-12T18:30:00,ECONOMY,,,,0,2966,
RPT-2024-00413,EMP-2089,CC-ENGR-US,HOTEL,2024-01-10,420.00,USD,420.00,Hyatt Regency Chicago,,,,,,,,,Chicago,2024-01-10,2024-01-12,2,,
RPT-2024-00414,EMP-3201,CC-EXEC-GB,AIRFARE,2024-01-14,4200.00,GBP,5334.00,British Airways,London,Singapore,LHR,SIN,2024-01-14T22:00:00,2024-01-15T18:30:00,BUSINESS,,,,0,10841,
RPT-2024-00414,EMP-3201,CC-EXEC-GB,AIRFARE,2024-01-18,4200.00,GBP,5334.00,British Airways,Singapore,London,SIN,LHR,2024-01-18T09:00:00,2024-01-18T15:00:00,BUSINESS,,,,0,10841,
RPT-2024-00414,EMP-3201,CC-EXEC-GB,HOTEL,2024-01-15,950.00,SGD,714.60,Marina Bay Sands,,,,,,,,,Singapore,2024-01-15,2024-01-18,3,,
RPT-2024-00415,EMP-4455,CC-MKTG-US,AIRFARE,2024-01-22,380.00,USD,380.00,Delta Air Lines,New York,Los Angeles,JFK,LAX,2024-01-22T08:00:00,2024-01-22T11:30:00,ECONOMY,,,,0,3975,
RPT-2024-00415,EMP-4455,CC-MKTG-US,AIRFARE,2024-01-25,395.00,USD,395.00,Delta Air Lines,Los Angeles,New York,LAX,JFK,2024-01-25T18:00:00,2024-01-26T02:00:00,ECONOMY,,,,0,3975,
RPT-2024-00416,EMP-5012,CC-SALES-DE,AIRFARE,2024-01-29,650.00,EUR,712.40,Air France,Paris,Dubai,CDG,DXB,2024-01-29T11:00:00,2024-01-29T19:30:00,ECONOMY,,,,0,5244,
RPT-2024-00416,EMP-5012,CC-SALES-DE,AIRFARE,2024-02-01,680.00,EUR,745.36,Emirates,Dubai,Paris,DXB,CDG,2024-02-01T02:30:00,2024-02-01T06:45:00,ECONOMY,,,,0,5244,
RPT-2024-00416,EMP-5012,CC-SALES-DE,HOTEL,2024-01-29,1800.00,AED,489.60,Address Downtown Dubai,,,,,,,,,Dubai,2024-01-29,2024-02-01,3,,
RPT-2024-00417,EMP-6788,CC-ENGR-US,AIRFARE,2024-02-05,320.00,USD,320.00,Southwest Airlines,Dallas,Atlanta,DFW,ATL,2024-02-05T07:00:00,2024-02-05T10:15:00,ECONOMY,,,,0,1150,
RPT-2024-00418,EMP-7890,CC-SALES-DE,AIRFARE,2024-02-12,1100.00,EUR,1206.00,Lufthansa,Frankfurt,Tokyo,FRA,NRT,2024-02-12T10:30:00,2024-02-13T06:30:00,BUSINESS,,,,0,9368,
RPT-2024-00418,EMP-7890,CC-SALES-DE,AIRFARE,2024-02-16,1150.00,EUR,1260.60,Lufthansa,Tokyo,Frankfurt,NRT,FRA,2024-02-16T11:00:00,2024-02-16T15:00:00,BUSINESS,,,,0,9368,
RPT-2024-00419,EMP-8001,CC-EXEC-GB,AIRFARE,2024-02-20,0.00,GBP,0.00,British Airways,London,London,LHR,LHR,2024-02-20T09:00:00,2024-02-20T10:00:00,ECONOMY,,,,0,0,VALIDATION ERROR: Same origin/destination
RPT-2024-00420,EMP-9112,CC-MKTG-US,AIRFARE,2024-02-22,890.00,USD,890.00,American Airlines,New York,Sydney,NYC,SYD,2024-02-22T23:00:00,2024-02-24T08:00:00,ECONOMY,,,,0,16248,CITY CODE not airport code for NYC
RPT-2024-00421,EMP-1042,CC-SALES-DE,AIRFARE,2024-03-04,920.00,EUR,1008.12,Lufthansa,Frankfurt,Boston,,BOS,2024-03-04T08:30:00,2024-03-04T12:00:00,ECONOMY,,,,0,6088,Missing origin airport code
RPT-2024-00422,EMP-3201,CC-EXEC-GB,AIRFARE,2024-03-11,5800.00,GBP,7365.40,British Airways,London,Sydney,LHR,SYD,2024-03-11T21:00:00,2024-03-13T05:00:00,FIRST,,,,0,16997,
RPT-2024-00422,EMP-3201,CC-EXEC-GB,HOTEL,2024-03-13,2400.00,AUD,1568.64,Four Seasons Sydney,,,,,,,,,Sydney,2024-03-13,2024-03-16,3,,
RPT-2024-00422,EMP-3201,CC-EXEC-GB,AIRFARE,2024-03-16,5800.00,GBP,7365.40,British Airways,Sydney,London,SYD,LHR,2024-03-16T19:30:00,2024-03-18T06:00:00,FIRST,,,,0,16997,
RPT-2024-00423,EMP-2089,CC-ENGR-US,AIRFARE,2024-03-18,275.00,USD,275.00,United Airlines,Denver,San Francisco,DEN,SFO,2024-03-18T14:00:00,2024-03-18T15:30:00,ECONOMY,,,,0,200,Stated distance too short - GC dist is ~1520 km
