account_number,meter_id,service_address,billing_period_start,billing_period_end,consumption_kwh,peak_demand_kw,cost_usd,tariff_code,renewable_pct,supplier_name,read_type,notes
ACC-001-2024,MTR-DE-001,"Industriestrasse 45, 60329 Frankfurt, DE",2024-01-01,2024-01-31,245800.00,512.00,29496.00,I-RBT-01,18.5,E.ON Energie Deutschland,ACTUAL,
ACC-001-2024,MTR-DE-001,"Industriestrasse 45, 60329 Frankfurt, DE",2024-02-01,2024-02-29,231200.00,498.00,27744.00,I-RBT-01,18.5,E.ON Energie Deutschland,ACTUAL,
ACC-001-2024,MTR-DE-001,"Industriestrasse 45, 60329 Frankfurt, DE",2024-03-01,2024-03-31,238400.00,505.00,28608.00,I-RBT-01,18.5,E.ON Energie Deutschland,ACTUAL,
ACC-002-2024,MTR-DE-002,"Industriestrasse 45, 60329 Frankfurt, DE",2024-01-01,2024-01-31,18200.00,42.00,2184.00,G-RBT-01,18.5,E.ON Energie Deutschland,ACTUAL,Auxiliary building
ACC-002-2024,MTR-DE-002,"Industriestrasse 45, 60329 Frankfurt, DE",2024-02-01,2024-02-29,17400.00,38.00,2088.00,G-RBT-01,18.5,E.ON Energie Deutschland,ACTUAL,Auxiliary building
ACC-002-2024,MTR-DE-002,"Industriestrasse 45, 60329 Frankfurt, DE",2024-03-01,2024-03-31,16800.00,37.00,2016.00,G-RBT-01,18.5,E.ON Energie Deutschland,ACTUAL,Auxiliary building
ACC-003-2024,MTR-US-001,"850 Industrial Blvd, Houston TX 77002, US",2024-01-17,2024-02-16,412000.00,890.00,41200.00,TOU-SEC,2.1,CenterPoint Energy,ACTUAL,
ACC-003-2024,MTR-US-001,"850 Industrial Blvd, Houston TX 77002, US",2024-02-16,2024-03-17,388000.00,845.00,38800.00,TOU-SEC,2.1,CenterPoint Energy,ACTUAL,
ACC-004-2024,MTR-US-002,"1200 Commerce St, Dallas TX 75201, US",2024-01-05,2024-02-04,89400.00,195.00,8940.00,LGS-TOU,2.1,Oncor Electric Delivery,ESTIMATED,Meter access issue
ACC-004-2024,MTR-US-002,"1200 Commerce St, Dallas TX 75201, US",2024-02-04,2024-03-04,92100.00,201.00,9210.00,LGS-TOU,2.1,Oncor Electric Delivery,ACTUAL,
ACC-005-2024,MTR-GB-001,"Park Royal Industrial Estate, London NW10 7LQ, GB",2024-01-01,2024-01-31,156200.00,325.00,31240.00,HH-UK-01,35.0,EDF Energy,ACTUAL,
ACC-005-2024,MTR-GB-001,"Park Royal Industrial Estate, London NW10 7LQ, GB",2024-02-01,2024-02-29,148900.00,312.00,29780.00,HH-UK-01,35.0,EDF Energy,ACTUAL,
ACC-005-2024,MTR-GB-001,"Park Royal Industrial Estate, London NW10 7LQ, GB",2024-03-01,2024-03-31,162400.00,341.00,32480.00,HH-UK-01,35.0,EDF Energy,ACTUAL,
ACC-006-2024,MTR-US-003,"3400 Peachtree Rd NE, Atlanta GA 30326, US",2024-01-20,2024-03-20,78000.00,168.00,7800.00,R-20,12.4,Georgia Power,ACTUAL,BILLING PERIOD TOO LONG - 61 days
ACC-007-2024,,Chicago IL 60601,2024-01-01,2024-01-31,45200.00,98.00,4520.00,BES-TOU,8.0,ComEd,ACTUAL,Missing meter ID
ACC-008-2024,MTR-US-004,"500 Grant St, Pittsburgh PA 15219, US",2024-01-01,2024-01-31,-1200.00,0.00,-120.00,LGS-TOU,0.0,Duquesne Light,ACTUAL,Credit adjustment
ACC-009-2024,MTR-US-005,"100 Main St, Denver CO 80203, US",2024-01-15,2024-01-31,8900.00,22.00,890.00,COM-01,28.0,Xcel Energy,ACTUAL,
ACC-009-2024,MTR-US-005,"100 Main St, Denver CO 80203, US",2024-01-10,2024-02-10,9200.00,24.00,920.00,COM-01,28.0,Xcel Energy,ACTUAL,OVERLAPPING PERIOD - SHOULD FAIL VALIDATION
